2d_loss   	3d_loss   	adv_loss   	temporal_loss   	
0.653583	0.913074	2.820812	3.883112	
0.626749	0.833948	2.929078	4.025221	
0.652470	0.856184	2.897402	4.047459	
0.559744	0.896030	2.708045	3.740199	
0.642860	0.843921	2.808425	3.936313	
0.624481	0.784791	2.848374	3.979968	
0.608289	0.817144	2.709358	3.731981	
0.653943	0.813954	2.893026	4.077679	
0.621303	0.805468	2.914824	4.041111	
0.650779	0.816204	2.874757	3.904608	
0.612420	0.819110	2.945374	4.025512	
0.622388	0.768910	2.857876	3.987355	
0.635567	0.825337	2.917687	4.093835	
0.657270	0.829070	2.880270	4.013237	
0.658775	0.826562	2.912561	4.018006	
0.631800	0.797733	2.906955	4.135406	
0.608099	0.825517	2.761770	3.860090	
0.600885	0.836979	2.816563	3.920690	
0.609823	0.786547	2.786792	3.880511	
0.633352	0.780238	2.817079	3.933832	
0.624281	0.784469	2.858521	4.023098	
0.591095	0.838190	2.763473	3.853860	
0.616721	0.858220	2.817231	3.922521	
0.645851	0.818745	2.842712	3.904637	
0.594716	0.884329	2.740303	3.846993	
0.561911	0.839870	2.730132	3.782649	
0.649173	0.818484	2.867940	3.994427	
0.628104	0.791993	2.764685	3.923287	
0.565877	0.854061	2.693233	3.760953	
0.624817	0.800480	2.790195	3.861905	
0.629612	0.780724	2.873953	4.027905	
0.574233	0.824718	2.736956	3.788960	
0.603001	0.763242	2.827862	3.949230	
0.598979	0.769495	2.842527	3.977765	
0.603542	0.826099	2.882111	4.006973	
0.550435	0.776660	2.728583	3.819994	
0.595247	0.749571	2.730384	3.903643	
0.608400	0.809883	2.653393	3.805195	
0.586732	0.814319	2.719741	3.763464	
0.618928	0.807261	2.730615	3.822037	
0.626804	0.779155	2.864289	4.024055	
0.563438	0.765496	2.624296	3.704561	
0.653173	0.769535	2.815092	3.869284	
0.586658	0.747037	2.810800	3.930952	
0.626037	0.792577	2.657262	3.731370	
0.600380	0.751720	2.685588	3.805871	
0.581902	0.775114	2.786456	3.870491	
0.610903	0.736576	2.812196	3.957635	
0.552276	0.734585	2.730278	3.864716	
0.583875	0.751679	2.679783	3.858134	
0.625973	0.847094	2.774196	3.878063	
0.631590	0.861538	2.698521	3.820371	
0.580005	0.755551	2.733283	3.829626	
0.605073	0.810725	2.707695	3.784884	
0.605193	0.783583	2.727836	3.882899	
0.528880	0.780635	2.539582	3.521920	
0.620827	0.813307	2.685791	3.852605	
0.559792	0.744509	2.686014	3.725369	
0.489740	0.696427	2.486444	3.539715	
0.575112	0.736982	2.734617	3.856488	
0.572981	0.736631	2.714628	3.767066	
0.496249	0.734056	2.581916	3.621318	
0.620029	0.798150	2.696143	3.873544	
0.539028	0.786507	2.689877	3.786999	
0.544333	0.762752	2.560694	3.653301	
0.514599	0.724352	2.541405	3.599257	
